"","x"
"121","Lingcod_Southern Pacific Coast"
"122","Longnose skate_Pacific Coast"
"123","Longspine thornyhead_Pacific Coast"
"124","Mackerel ICES Northeast Atlantic"
"125","Mackerel Northwest Atlantic (NAFO Subareas 3 and 4)"
"126","Megrim ICES 8c-9a"
"127","Morwong _east"
"128","Morwong_West"
"129","Mutton snapper Southern Atlantic coast and Gulf of Mexico"
"130","Northern rock sole_Bering Sea / Aleutian Islands"
"131","Northern rockfish_Bering Sea / Aleutian Islands"
"132","Northern rockfish_Western / Central Gulf of Alaska"
"133","Orange roughy New Zealand Mid East Coast"
"134","Orange Roughy SE Australia"
"135","Other Flatfish Complex_Bering Sea / Aleutian Islands"
"136","Other Skates Complex_Bering Sea / Aleutian Islands"
"137","Pacific chub mackerel_Pacific Coast"
"138","Pacific cod_Aleutian Islands"
"139","Pacific cod_Bering Sea"
"140","Pacific cod_Gulf of Alaska"
"141","Pacific hake_Pacific Coast"
"142","Pacific halibut North Pacific"
"143","Pacific halibut_Pacific Coast / Alaska"
"144","Pacific herring Central Coast"
"145","Pacific herring Prince Rupert District"
"146","Pacific herring Queen Charlotte Islands"
"147","Pacific herring Strait of Georgia"
"148","Pacific herring West Coast of Vancouver Island"
"149","Pacific ocean perch_Bering Sea / Aleutian Islands"
"150","Pacific ocean perch_Gulf of Alaska"
"151","Pacific ocean perch_Pacific Coast"
"152","Pacific sardine Pacific Coast"
"153","Pacific sardine_Northern Subpopulation"
"154","Patagonian grenadier Southern Argentina"
"155","Patagonian toothfish South Africa Subantarctic Prince Edward Islands"
"156","Paua New Zealand Area PAU 5B (Stewart Island)"
"157","Paua New Zealand Area PAU 5D (Otago)"
"158","Paua New Zealand Area PAU 7 (Marlborough)"
"159","Peruvian anchoveta North-Central Peruvian coast"
"160","Petrale sole_Pacific Coast"
"161","Pink shrimp_Gulf of Mexico"
"162","Pink_Ling_East"
"163","Pink_Ling_West"
"164","Pollock Faroe Plateau"
"165","Pollock North-East Arctic"
"166","Pollock_Gulf of Maine / Georges Bank"
"167","Red king crab_Bristol Bay"
"168","Red king crab_Norton Sound"
"169","Red porgy_Southern Atlantic Coast"
"170","Redfish SE Australia"
"171","Rex sole Gulf of Alaska"
"172","Rock sole Hecate Strait"
"173","Rougheye rockfish Bering Sea and Aleutian Islands"
"174","Rougheye rockfish Gulf of Alaska"
"175","Sablefish_Eastern Bering Sea / Aleutian Islands / Gulf of Alaska"
"176","Sablefish_Pacific Coast"
"177","Sardine South Africa"
"178","School Whiting SE Australia"
"179","School_shark SE Australia"
"180","Sculpin Complex_Gulf of Alaska"
"181","Scup_Atlantic Coast"
"182","Sea scallop_Northwestern Atlantic Coast"
"183","Shallow water cape hake South Africa"
"184","Shortraker rockfish_Bering Sea / Aleutian Islands"
"185","Shortspine thornyhead_Gulf of Alaska"
"186","Shortspine thornyhead_Pacific Coast"
"187","Silver_Warehou SE Australia"
"188","Skipjack tuna Central Western Pacific Ocean"
"189","Smooth oreo Chatham Rise"
"190","Smooth oreo West end of Chatham Rise"
"191","Snow crab_Bering Sea"
"192","Snowy grouper Southern Atlantic coast"
"193","South African abalone South Africa"
"194","Southern blue whiting Campbell Island Rise"
"195","Southern blue whiting Southern Argentina"
"196","Southern hake Chatham Rise"
"197","Southern hake Sub-Antarctic"
"198","Southern spiny lobster South Africa South coast"
"199","Southern Tanner crab_Bering Sea"
"200","Spanish mackerel Southern Atlantic coast"
"201","Spiny dogfish_Atlantic Coast"
"202","Sprat North Sea"
"203","Striped bass Gulf of Maine / Cape Hatteras"
"204","Summer flounder_Mid-Atlantic Coast"
"205","Swordfish_North Atlantic"
"206","Tanner crab Bering Sea and Aleutian Islands"
"207","Tiger_flathead SE Australia"
"208","Tilefish_Mid-Atlantic Coast"
"209","Trevally New Zealand Areas TRE 7"
"210","Walleye pollock Northern Sea of Okhotsk"
"211","Walleye pollock_Aleutian Islands"
"212","Walleye pollock_Bogoslof"
"213","Walleye pollock_Eastern Bering Sea"
"214","Walleye pollock_Western / Central / West Yakutat Gulf of Alaska"
"215","White hake_Gulf of Maine / Georges Bank"
"216","White shrimp_Gulf of Mexico"
"217","Whiting Celtic Sea"
"218","Whiting West of Scotland"
"219","Widow rockfish_Pacific Coast"
"220","Winter flounder Southern Gulf of St. Lawrence"
"221","Winter flounder_Georges Bank"
"222","Winter flounder_Gulf of Maine"
"223","Winter flounder_Southern New England / Mid-Atlantic"
"224","Witch flounder_Northwestern Atlantic Coast"
"225","Yelloweye rockfish_Pacific Coast"
"226","Yellowfin sole_Bering Sea / Aleutian Islands"
"227","Yellowfin tuna Central Western Pacific Ocean"
"228","Yellowtail flounder_Cape Cod / Gulf of Maine"
"229","Yellowtail flounder_Georges Bank"
"230","Yellowtail flounder_Southern New England / Mid-Atlantic"
