stockid,stocklong,TBmsybest,ERmsybest,MSYbest,TBmgtbest,ERmgtbest,TBmsy,SSBmsy,Nmsy,MSY,Fmsy,ERmsy,TBmgt,SSBmgt,Fmgt,ERmgt,TB0,SSB0,M,TBlim,SSBlim,Flim,ERlim
CHROCKCPCOAST,China rockfish Central Pacific Coast,,,15.7,,,,2.60E+10,,15.7,0.5,,,,,,,,,,1.63E+10,0.5,
CHROCKNPCOAST,China rockfish Northern Pacific Coast,,,,,,,9.76E+09,,,0.5,,,,,,,,,,6.13E+09,0.5,
CHROCKSPCOAST,China rockfish Southern Pacific Coast,,,21.1,,,,2.66E+10,,21.1,0.5,,,,,,,,,,1.66E+10,0.5,
CHSQUIDSA,Cape Hope squid South Africa,25703.2,,,,,25703.2,,,,,,,,,,64258,,,,,,
CHTRACCH,Chilean jack mackerel Chilean EEZ and offshore,,,,,,,,,,,,,,,,,,0.23,,,,
CMACKPCOAST,Pacific chub mackerel Pacific Coast,125284.8993,0.183966305,23048.2,,,125284.8993,122357,,23048.2,0.138,0.183966305,,,,,,182791,0.5,18200,29420,,
CMACKPJPN,Chub mackerel Pacific Coast of Japan,2077724.275,0.171,355290.851,,,2077724.275,812856,,355290.851,,0.171,,,,,,,0.4,450,,,
CMACKTSST,Chub mackerel Tsushima Strait,899287.7091,0.362,325542.1507,,,899287.7091,339714,,325542.1507,,0.362,,,,,,,0.4,,,,
CMACKWA,Chub Mackerel West Africa,,,,,,,,,,0.67,,,,,,,,,,,,
COBGM,Cobia Gulf of Mexico,,,1208,,,,2065,,1208,0.378,,,,0.378,,,,,,1280,0.378,
COBSATLC,Cobia Southern Atlantic coast,,,366.502336,,,,536800,,366.502336,,,,,,,,,,,397200,,
COD1IN,Atlantic cod NAFO Subarea 1 (inshore),,,,,,,,,,0.268,,,5983,,,,,,,4346,,
COD2J3KL,Atlantic cod NAFO 2J3KL,,0.1,,,,,1000000,,,,0.1,,,,,,,,,,,
COD4TVn,Atlantic cod NAFO 4TVn,,,,,,,,,,,,,,,,,,,,80000,,
COD4X5Yb,"Atlantic cod Western Scotian Shelf, Bay of Fundy and Gulf of Maine",,,,,,,,,,,,,,0.2,,,,,,24000,,
COD5Zjm,Atlantic cod NAFO 5Zjm,,,,,,,,,,0.11,,,,,,,,,,21000,0.11,
CODBA2224,Atlantic cod Baltic Areas 22 and 24,,,23000,,,,,,23000,0.26,,,38400,0.26,,,,,,27400,1.01,
CODBA2532,Atlantic cod Baltic Areas 25-32,,,,,,,,,,0.3,,,88200,0.3,,,,,,63000,,
CODFAPL,Atlantic cod Faroe Plateau,,,,,,,,,,0.23,,,29226,0.23,,,,,,21000,0.9,
CODGB,Atlantic cod Georges Bank,,,28774,,,,186535,,28774,0.18,,,,,,,,,,,,
CODGOM,Atlantic cod Gulf of Maine,,,10043,,,,59045,,10043,0.18,,,59045,0.187,,,,,,,,
CODICE,Atlantic cod Iceland,,,,,,,,,,,,,220000,0.2,,,,,125000,125000,0.74,
CODIf-XIV,Atlantic cod ICES If-XIV,,,,,,,,,,0.46,,,14803,1.33,,,,,,10354,2.34,
CODIIIaW-IV-VIId,Atlantic cod IIIa (west) and IV-VIId,,,,,,,,,,0.31,,,150000,0.4,,,,,70000,107000,0.54,
CODIS,Atlantic cod Irish Sea,,,,,,,,,,0.309,,,8616,0.309,,,,0.2,6000,6000,0.614,
CODKAT,Atlantic cod Kattegat,,,,,,,,,,,,,10500,,,,,,6400,6400,,
CODNEAR,Atlantic cod Northeast Arctic,,,,,,,,,,0.4,,,460000,0.4,,,,,,220000,0.74,
CODNEARNCW,Atlantic cod Northeast Arctic (Norwegian coastal waters),,,,,,,,,,,,,60000,0.1,,,,,,,,
CODVIa,Atlantic cod West of Scotland,,,,,,,22000,,,0.167,,,20000,0.167,,,,,,14000,0.82,
CODVIIek,Atlantic Cod Celtic Sea,,,10300,,,,,,10300,0.353,,,10300,0.353,,,,,,7300,0.807,
COWCODSCAL,Cowcod Southern California,1254.545455,0.055,69,,0.05,1254.545455,629,,69,,0.055,,620,,0.05,3099,1549,0.06,,,,0.05
CPANDMEDGSA15-16,Common pandora Malta Island and South of Sicily,,,,,,,,,,,,,,0.3,,,,,,,,
CPANDMEDGSA9,Common pandora Ligurian and North Tyrrhenian Sea,,,,,,,,,,,,,,0.48,,,,,,,,
CPRROCKPCOAST,Copper rockfish Pacific Coast,2238.295455,0.088,196.97,,,2238.295455,,,196.97,,0.088,,,,,,,,,,,0.088
CRLOBSTERSA12,West coast rock lobster South Africa Areas 1-2,,,,,,,,,,,,,,,,56583,,0.11,,,,
CRLOBSTERSA34,West coast rock lobster South Africa Areas 3-4,,,,,,,,,,,,,,,,166501,,0.11,,,,
CRLOBSTERSA56,West coast rock lobster South Africa Areas 5-6,,,,,,,,,,,,,,,,255837,,0.11,,,,
CRLOBSTERSA7,West coast rock lobster South Africa Area 7,,,,,,,,,,,,,,,,116689,,0.11,,,,
CRLOBSTERSA8,West coast rock lobster South Africa Area 8,,,,,,,,,,,,,,,,199707,,0.11,,,,
CROCKPCOAST,Canary rockfish Pacific Coast,26414.47368,0.0304,1226,,,26414.47368,2996400000,,1226,0.5,0.0304,,,,,70664,27846,0.06,,1872750000,0.5,
CROCKWCVANISOGQCI,Canary rockfish West Coast of Vancouver Island and Straight of Georgia and Queen Charlotte Islands,5850.75635,0.122,713.7922747,,,5850.75635,1988,,713.7922747,,0.122,,,,,,,0.06,,,,
CSARDCSCH,Chilean sardine Central-Southern Chile,,,,,,,642609.4067,,,0.325316983,,,889000,0.26,,,,1,,444000,,
CTRACSA,Cape horse mackerel South Africa South coast,307654.14,0.24,72924.09,,,307654.14,234635.47,,72924.09,0.19,0.24,,,,,1052609,960562,0.3,366474.1739,,,
CUSK4X,Cusk NAFO 4X,25790,0.0575,1482.925,,,25790,,,1482.925,,0.0575,,,,,47430,,,,,,
CUSKVa-XIV,Tusk Va and XIV,,,,,0.13,,,,,0.2,,,6240,0.2,0.13,,,,,4460,,
DEEPCHAKESA,Deep-water cape hake South Africa,,0.41,118900,,,,181000,,118900,,0.41,,181000,,,2256000,1023000,0.717,60000,77200,,
DEEPFLATHEADSE,Deepwater flathead Southeast Australia,,,1200.123574,,,,2963.411027,,1200.123574,0.167874649,,,4749.67,0.105135,,21058.1,11045.7,0.191484,1369.38,2209.14,,
DKROCKPCOAST,Darkblotched rockfish Pacific Coast,,,674,,,,1.28E+09,,674,0.5,,,,,,32710,2.92E+12,0.07,,8.00E+08,0.5,
DOYSFS,Dredge oyster Foveax Strait,,,,,,,,,,,,,1501772000,,,,,0.1,,,,
DSKSHARGMATL,Dusky shark Gulf of Mexico and Atlantic,,,,,,,,,,0.03426309,,,,,,,,,,,,
DSOLEGA,Dover sole Gulf of Alaska,,,,,,,19855,,,0.149,,,,,,,,0.085,,,,
DSOLEPCOAST,Dover sole Pacific Coast,265320.6107,0.131,34757,,,265320.6107,114398,,34757,,0.131,,,,,821271,469866,0.101,,,,
DUSROCKGA,Dusky rockfish Gulf of Alaska,,,,,,,17244,,,0.087,,,,,,,,0.07,,,,
EBASSIVbc-VII,European seabass IVbc and VII,,,,,,,,,,0.203,,,13465,0.203,,,,,,9618,0.295,
ESOLEHS,English sole Hecate Strait,,,,,,,,,,,,,,,,,,0.2,,,,
ESOLEPCOAST,English sole Pacific Coast,15748.14815,0.27,3875,,,15748.14815,6526,,3875,0.7,0.27,,,,,,36012,,,7364,0.7,
EULAPCOASTFRDU,Eulachon Pacific Coast of Canada Fraser River DU,,,112,,,,,,112,,,,,,,,,,,,,
FLSOLEBSAI,Flathead sole Bering Sea and Aleutian Islands,,,83321,,,,111722,,83321,0.342,,,,,,,336027,0.2,,,,
FLSOLEGA,Flathead sole Gulf of Alaska,,,,,,,32258,,,0.481,,,,,,,,0.2,,,,
FMEG8c9a,Fourspotted megrim ICES VIIIc-IXa,,,,,,,,,,0.193,,,4600,0.193,,,,0.2,,3300,0.57,
FTOOTHSHARATL,Finetooth shark Atlantic,,,,,,,,3199000,96000,0.03,,,,,,,,,,,,
GAGGM,Gag Gulf of Mexico,,,,,,,27558,,,0.108,,,27558,0.081,,,,0.134,,,,
GAGSATLC,Gag Southern Atlantic coast,6475.189456,0.124410267,425.5603897,,,6475.189456,1831.7,,425.5603897,0.295,0.124410267,,,,,,,0.14,,1575.3,0.237,
GEMFISHNZ,common gemfish New Zealand,4564.599127,0.313728039,1432.042733,,,4564.599127,1803.026167,,1432.042733,0.289566667,0.313728039,,,,,,11484.66667,0.24,,,,
GEMFISHSE,common gemfish Southeast Australia,,,,,,,5458.32,,,,,,,,,,,,2274.3,,,
GFORKBMEDGSA9,Greater forkbeard Ligurian and North Tyrrhenian Sea,,,,,,,,,,,,,,0.32,,,,,,,,
GHAL01ABCDEF,Greenland halibut NAFO 01ABCDEF,,,,,,,,,,0.22,,,,,,,,,,,,
GHAL23KLMNO,Greenland halibut NAFO 23KLMNO,,,,,,,,,,,,,,,,,,0.2,,,,
GHALBSAI,Greenland turbot Bering Sea and Aleutian Islands,,,,,,,45543,,,0.12,,,,,,,,0.11,,,,
GHALNEAR,Greenland halibut Northeast Arctic,,,,,,,,,,,,,,,,,,0.15,,,,
GOLDREDNEAR,Golden Redfish Northeast Arctic,,,,,,,,,,0.0525,,,,0.0525,,,,0.1,,44000,,
GOLDREDV-VI-XII-XIV,Golden Redfish V-VI-XII-XIV,,,,,,,,,,0.097,,,220000,0.097,,,,,,160000,0.226,
GOPHERSPCOAST,Gopher rockfish Southern Pacific Coast,1010,0.1,101,,,1010,,,101,,0.1,,,,,2440,1995,0.2,,,,
GRAMBERGM,Greater amberjack Gulf of Mexico,7422.421091,0.22,1632.93264,,0.17,7422.421091,4626.64248,,1632.93264,0.5679,0.22,,,,0.17,,,,,3356.58376,0.5679,0.22
GRAMBERSATLC,Greater amberjack Southern Atlantic coast,5491,0.165625569,909.45,,,5491,1940,,909.45,0.433,0.165625569,,,,,,,0.25,1455,,0.433,
GRNSTROCKPCOAST,Greenstriped rockfish Pacific Coast,11774.19355,0.0682,803,,,11774.19355,2039000000,,803,,0.0682,,,,,,,0.08,,,,
GRSHRIMPMEDGSA10,Giant red shrimp South Tyrrhenian Sea,,,,,,,,,,,,,,0.65,,,,,,265,,
GRSHRIMPMEDGSA11,Giant red shrimp Sardinia,,,,,,,,,,,,,,0.31,,,,,,26,,
GRSHRIMPMEDGSA12-16,Giant red shrimp Geographical Sub-Areas 12-16,,,,,,,,,,,,,,0.3,,,,,,,,
GRSHRIMPMEDGSA18-19,Giant red shrimp South Adriatic Sea and West Ionian Sea,,,,,,,,,,,,,,0.42,,,,,,,,
GRSHRIMPMEDGSA9,Giant red shrimp Ligurian and North Tyrrhenian Sea,,,,,,,,,,,,,,0.51,,,,,,80,,
GRSPROCKNCAL,Greenspotted rockfish Pacific Coast North,840,0.07,58.8,,,840,1.34E+11,,58.8,,0.07,,,,,3160,5640000000,0.07,,,,
GRSPROCKSCAL,Greenspotted rockfish Pacific Coast South,931.6666667,0.06,55.9,,,931.6666667,1.80E+11,,55.9,,0.06,,,,,4331,7940000000,0.07,,,,
GSTRGZRSTA7,Giant stargazer NZ Area STA7,5906.399978,0.102939185,608,,,5906.399978,2568,,608,0.38,0.102939185,,,,,,9237.09,0.18,,,,
GTRIGGM,Gray triggerfish Gulf of Mexico,,,446.5205007,,,,1.11E+10,,446.5205007,0.153,,,,0.115,,,,0.27,,7.00E+09,0.385,
HAD4X5Y,Haddock NAFO-4X5Y,,,14700,,,,52000,,14700,,,,,,,,,,,,,
HAD5Y,Haddock NAFO-5Y,,,1083,,,,4623,,1083,0.468,,,,,,,,,,2312,0.468,
HADFAPL,Haddock Faroe Plateau,,,35000,,,,,,35000,0.165,,,22843,0.165,,,,,,16780,0.54,
HADGB,Haddock Georges Bank,,,24900,,,,108300,,24900,0.39,,,,,,,,,,54150,0.39,
HADICE,Haddock Iceland,,,,,,,,,,,,,45000,0.4,,,,,45000,45000,,
HADIS,Haddock Irish Sea,,,,,,,,,,0.27,,,2944,0.34,,,,,,2300,0.47,
HADNEAR,Haddock Northeast Arctic,,,,,,,,,,0.35,,,80000,0.35,,,,,,80000,0.77,
HADNS-IIIa-VIa,Haddock North Sea and IIIa-VIa,,,,,,,,,,0.19,,,132000,0.19,,,,,,94000,0.39,
HADROCK,Haddock Rockall Bank,,,9000,,,,,,9000,0.2,,,10200,0.2,,,,,,6800,0.69,
HADVIIb-k,Haddock ICES VIIb-k,,,,,,,,,,0.4,,,10000,0.4,,,,,,6700,1.41,
HAKEMEDGSA15-16,Hake Malta Island and South of Sicily,,,,,,,,,,,,,,0.15,,,,,,,,
HAKEMEDGSA1-7,Hake Geographical Sub-Areas 1-7,,,,,,,,,,,,,,0.39,,,,,,5186,,
HAKEMEDGSA17-18,Hake Adriatic Sea,,,,,,,,,,,,,,0.16,,,,,,,,
HAKEMEDGSA19,Hake Western Ionian Sea,,,,,,,,,,,,,,0.18,,,,,,,,
